٢٠٩

| كأنّه أنزلناه من | السماء فاختلط | به نبات الأرض | فأصبح هشيماً | تذروه الرياح |
| :--- | :--- | :--- | :--- | :--- |
| يوم الآزفة إذ | القلوب لدى | الحناجر | كاظمين ما للظالمين | من حميم ولا شفيع |
| هو الله الذي | لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم |
| علمت نفس ما | فلا أقسم بالخنس | الجوار الكنس | والليل إذا عسعس | والصبح إذا تنفس |
| ص والقرآن | ذي الذكر | كفروا | في عزة وشقاق | |
| الله فاطر | رب قادر | رحمن لطيف | رحيم جدير | ملك قاهر |
| السماء فاختلط | ذات الأرض | فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من |
| لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم | هو الله الذي |
| إذ القلوب لدى | الحناجر كاظمين | ما للظالمين من | حميم ولا شفيع | يوم الآزفة |
| علمت نفس ما | الجوار الكنس | والليل إذا عسعس | والصبح إذا تنفس | علمت نفس ما |
| ذي الذكر | بل الذين | كفروا في عزة | وشقاق | ص والقرآن |
| رب قادر | رحمن لطيف | وشقاق | حميم خبير | الله فاطر |
| به نبات الأرض | فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من | السماء فاختلط |
| عالم الغيب والشهادة | هو الرحمن | الرحيم | هو الله الذي | لا إله إلا هو |
| الحناجر كاظمين | ما للظالمين | والليل إذا عسعس | يوم الآزفة | يوم الآزفة |
| الجوار الكنس | بل الذين | كفروا في عزة | والصبح إذا تنفس | والصبح إذا تنفس |
| رحمن لطيف | رحمن خبير | رحيم | ذي الذكر | ذي الذكر |
| فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من | رب قادر | رب قادر |
| هو الرحمن الرحيم | هو | الله الذي | به نبات الأرض | به نبات الأرض |
| ما للظالمين من | حميم ولا شفيع | لا إله إلا هو | غيب وشهادة | غيب وشهادة |
| والليل إذا عسعس | والصبح إذا تنفس | يوم الآزفة إذ | القلوب | الجوار الكنس |
| كفروا في عزة | وشقاق | والقرآن | ذي الذكر | بل الذين |
| رحيم خبير | ملك قاهر | الله فاطر | رب قادر | رحمن لطيف |
| تذروه الرياح | كأنّه أنزلناه من | السماء فاختلط | به نبات الأرض | فأصبح هشيماً |
| الرحيم ولا شفيع | لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم |
| والصبح إذا تنفس | يوم الآزفة | علمت نفس ما | الحناجر كاظمين | ما للظالمين |
| وشقاق | ص والقرآن | والقرآن | الجوار الكنس | والليل إذا عسعس |
| الله قاهر | الله فاطر | الله فاطر | بل الذين | كفروا في عزة |
| | | | رحمن لطيف | رحيم خبير |

١٤ - شمس المعارف -
