Arabic:
٢٠٩

| كأنّه أنزلناه من | السماء فاختلط | به نبات الأرض | فأصبح هشيماً | تذروه الرياح |
| :--- | :--- | :--- | :--- | :--- |
| يوم الآزفة إذ | القلوب لدى | الحناجر | كاظمين ما للظالمين | من حميم ولا شفيع |
| هو الله الذي | لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم |
| علمت نفس ما | فلا أقسم بالخنس | الجوار الكنس | والليل إذا عسعس | والصبح إذا تنفس |
| ص والقرآن | ذي الذكر | كفروا | في عزة وشقاق | |
| الله فاطر | رب قادر | رحمن لطيف | رحيم جدير | ملك قاهر |
| السماء فاختلط | ذات الأرض | فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من |
| لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم | هو الله الذي |
| إذ القلوب لدى | الحناجر كاظمين | ما للظالمين من | حميم ولا شفيع | يوم الآزفة |
| علمت نفس ما | الجوار الكنس | والليل إذا عسعس | والصبح إذا تنفس | علمت نفس ما |
| ذي الذكر | بل الذين | كفروا في عزة | وشقاق | ص والقرآن |
| رب قادر | رحمن لطيف | وشقاق | حميم خبير | الله فاطر |
| به نبات الأرض | فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من | السماء فاختلط |
| عالم الغيب والشهادة | هو الرحمن | الرحيم | هو الله الذي | لا إله إلا هو |
| الحناجر كاظمين | ما للظالمين | والليل إذا عسعس | يوم الآزفة | يوم الآزفة |
| الجوار الكنس | بل الذين | كفروا في عزة | والصبح إذا تنفس | والصبح إذا تنفس |
| رحمن لطيف | رحمن خبير | رحيم | ذي الذكر | ذي الذكر |
| فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من | رب قادر | رب قادر |
| هو الرحمن الرحيم | هو | الله الذي | به نبات الأرض | به نبات الأرض |
| ما للظالمين من | حميم ولا شفيع | لا إله إلا هو | غيب وشهادة | غيب وشهادة |
| والليل إذا عسعس | والصبح إذا تنفس | يوم الآزفة إذ | القلوب | الجوار الكنس |
| كفروا في عزة | وشقاق | والقرآن | ذي الذكر | بل الذين |
| رحيم خبير | ملك قاهر | الله فاطر | رب قادر | رحمن لطيف |
| تذروه الرياح | كأنّه أنزلناه من | السماء فاختلط | به نبات الأرض | فأصبح هشيماً |
| الرحيم ولا شفيع | لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم |
| والصبح إذا تنفس | يوم الآزفة | علمت نفس ما | الحناجر كاظمين | ما للظالمين |
| وشقاق | ص والقرآن | والقرآن | الجوار الكنس | والليل إذا عسعس |
| الله قاهر | الله فاطر | الله فاطر | بل الذين | كفروا في عزة |
| | | | رحمن لطيف | رحيم خبير |

١٤ - شمس المعارف -

English:
209

| As though He had sent it down from | the sky, and the vegetation | of the earth became mixed with it, then it became dry stubble, | scattered by the winds |
| :--- | :--- | :--- | :--- | :--- |
| the Day of the Approaching, when | the hearts are at | the throats, | choking; the الظالمين have no | intimate friend nor intercessor |
| He is Allah, the One | there is no god except Him | Knower of the unseen and the witnessed | He is the Merciful | the Compassionate |
| A soul knows what | So I swear not by the retreating | the running, the hiding | and the night when it grows dark | and the morning when it breathes |
| Ṣād. By the Qur’an | full of remembrance | disbelieved | in pride and dissension | |
| Allah, Originator | Lord, Powerful | Merciful, Gentle | Compassionate, Worthy | King, Subduer |
| the sky, and it became mixed | the earth itself | then it became dry stubble | scattered by the winds | as though He had sent it down from |
| there is no god except Him | Knower of the unseen and the witnessed | He is the Merciful | the Compassionate | He is Allah, the One |
| when the hearts are at | the throats, choking | the الظالمين have no | intimate friend nor intercessor | the Day of the Approaching |
| A soul knows what | the running, the hiding | and the night when it grows dark | and the morning when it breathes | A soul knows what |
| full of remembrance | nay, those who | disbelieved in pride | and dissension | Ṣād. By the Qur’an |
| Lord, Powerful | Merciful, Gentle | and dissension | intimate friend, Knower | Allah, Originator |
| by it the vegetation of the earth | then it became dry stubble | scattered by the winds | as though He had sent it down from | the sky, and it became mixed |
| Knower of the unseen and the witnessed | He is the Merciful | the Compassionate | He is Allah, the One | there is no god except Him |
| the throats, choking | the الظالمين have no | and the night when it grows dark | the Day of the Approaching | the Day of the Approaching |
| the running, the hiding | nay, those who | disbelieved in pride | and the morning when it breathes | and the morning when it breathes |
| Merciful, Gentle | Merciful, Knower | Compassionate | full of remembrance | full of remembrance |
| then it became dry stubble | scattered by the winds | as though He had sent it down from | Lord, Powerful | Lord, Powerful |
| He is the Merciful, the Compassionate | He | is Allah, the One | by it the vegetation of the earth | by it the vegetation of the earth |
| the الظالمين have no | intimate friend nor intercessor | there is no god except Him | unseen and witnessed | unseen and witnessed |
| and the night when it grows dark | and the morning when it breathes | the Day of the Approaching, when | the hearts | the running, the hiding |
| disbelieved in pride | and dissension | and the Qur’an | full of remembrance | nay, those who |
| Compassionate, Knower | King, Subduer | Allah, Originator | Lord, Powerful | Merciful, Gentle |
| scattered by the winds | as though He had sent it down from | the sky, and it became mixed | by it the vegetation of the earth | then it became dry stubble |
| the Compassionate, nor intercessor | there is no god except Him | Knower of the unseen and the witnessed | He is the Merciful | the Compassionate |
| and the morning when it breathes | the Day of the Approaching | A soul knows what | the throats, choking | the الظالمين have no |
| and dissension | Ṣād. By the Qur’an | and the Qur’an | the running, the hiding | and the night when it grows dark |
| Allah, Subduer | Allah, Originator | Allah, Originator | nay, those who | disbelieved in pride |
| | | | Merciful, Gentle | Compassionate, Knower |

14 - Shams al-Maʿārif -
