Arabic:
٢٠٩
| كأنّه أنزلناه من | السماء فاختلط | به نبات الأرض | فأصبح هشيماً | تذروه الرياح |
| :--- | :--- | :--- | :--- | :--- |
| يوم الآزفة إذ | القلوب لدى | الحناجر | كاظمين ما للظالمين | من حميم ولا شفيع |
| هو الله الذي | لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم |
| علمت نفس ما | فلا أقسم بالخنس | الجوار الكنس | والليل إذا عسعس | والصبح إذا تنفس |
| ص والقرآن | ذي الذكر | كفروا | في عزة وشقاق | |
| الله فاطر | رب قادر | رحمن لطيف | رحيم جدير | ملك قاهر |
| السماء فاختلط | ذات الأرض | فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من |
| لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم | هو الله الذي |
| إذ القلوب لدى | الحناجر كاظمين | ما للظالمين من | حميم ولا شفيع | يوم الآزفة |
| علمت نفس ما | الجوار الكنس | والليل إذا عسعس | والصبح إذا تنفس | علمت نفس ما |
| ذي الذكر | بل الذين | كفروا في عزة | وشقاق | ص والقرآن |
| رب قادر | رحمن لطيف | وشقاق | حميم خبير | الله فاطر |
| به نبات الأرض | فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من | السماء فاختلط |
| عالم الغيب والشهادة | هو الرحمن | الرحيم | هو الله الذي | لا إله إلا هو |
| الحناجر كاظمين | ما للظالمين | والليل إذا عسعس | يوم الآزفة | يوم الآزفة |
| الجوار الكنس | بل الذين | كفروا في عزة | والصبح إذا تنفس | والصبح إذا تنفس |
| رحمن لطيف | رحمن خبير | رحيم | ذي الذكر | ذي الذكر |
| فأصبح هشيماً | تذروه الرياح | كأنّه أنزلناه من | رب قادر | رب قادر |
| هو الرحمن الرحيم | هو | الله الذي | به نبات الأرض | به نبات الأرض |
| ما للظالمين من | حميم ولا شفيع | لا إله إلا هو | غيب وشهادة | غيب وشهادة |
| والليل إذا عسعس | والصبح إذا تنفس | يوم الآزفة إذ | القلوب | الجوار الكنس |
| كفروا في عزة | وشقاق | والقرآن | ذي الذكر | بل الذين |
| رحيم خبير | ملك قاهر | الله فاطر | رب قادر | رحمن لطيف |
| تذروه الرياح | كأنّه أنزلناه من | السماء فاختلط | به نبات الأرض | فأصبح هشيماً |
| الرحيم ولا شفيع | لا إله إلا هو | عالم الغيب والشهادة | هو الرحمن | الرحيم |
| والصبح إذا تنفس | يوم الآزفة | علمت نفس ما | الحناجر كاظمين | ما للظالمين |
| وشقاق | ص والقرآن | والقرآن | الجوار الكنس | والليل إذا عسعس |
| الله قاهر | الله فاطر | الله فاطر | بل الذين | كفروا في عزة |
| | | | رحمن لطيف | رحيم خبير |

١٤ - شمس المعارف -

English:
— 209 —

[Grid / magic-square table of Qur'ānic phrases — the original is a square arrangement of Quranic verse-fragments; the cells are reproduced exactly as in the source OCR.]

| As if We sent it down from | the sky and it mixed | with the earth's vegetation | and it became straw | which the winds scatter |
| :--- | :--- | :--- | :--- | :--- |
| The imminent Day when | the hearts are at | the throats | restraining [anger]—for the wrongdoers there is | no friend nor intercessor |
| He is Allah who | there is no god but He | Knower of the unseen and the witnessed | He is the Most Merciful | the Compassionate |
| A soul knew what | so I swear not by the retreating [stars] | the planets that recede | and the night when it darkens | and the dawn when it breathes |
| Ṣād, and the Qur'ān | of the Reminder | those who disbelieved | in pride and opposition | |
| Allah, the Originator | Lord, Able | Merciful, Subtle | Compassionate, Worthy | King, Subduer |
| the sky and it mixed | the earth itself | and it became straw | which the winds scatter | as if We sent it down from |
| there is no god but He | Knower of the unseen and the witnessed | He is the Most Merciful | the Compassionate | He is Allah who |
| when the hearts are at | the throats restraining | what the wrongdoers have | no friend nor intercessor | the imminent Day |
| a soul knew what | the planets that recede | and the night when it darkens | and the dawn when it breathes | a soul knew what |
