Arabic:
— ٥ —
صحيفة
١٦٩ الفصل السادس والعشرون في اسمه تعالى المذل
الفصل السابع والعشرون في اسمه تعالى السميع
١٧١ الفصل الثامن والعشرون في اسمه تعالى البصير
الفصل التاسع والعشرون في اسمه تعالى الحكم
الفصل الثلاثون في اسمه تعالى العدل
١٧٢ الفصل الحادي والثلاثون في اسمه تعالى اللطيف
الفصل الثاني والثلاثون في اسمه تعالى الخبير
١٧٣ الفصل الثالث والثلاثون في اسمه تعالى الحليم
الفصل الرابع والثلاثون في اسمه تعالى العظيم
الفصل الخامس والثلاثون في اسمه تعالى الغفور
الفصل السادس والثلاثون في اسمه تعالى الشكور
الفصل السابع والثلاثون في اسمه تعالى العلي
١٧٤ الفصل الثامن والثلاثون في اسمه تعالى القدير
الفصل التاسع والثلاثون في اسمه تعالى الحفيظ
١٧٥ الفصل الأربعون في اسمه تعالى المقيت
الفصل الحادي والأربعون في اسمه تعالى الحسيب
١٧٦ الفصل الثاني والأربعون في اسمه تعالى الجليل

صحيفة
١٧٧ الفصل الثالث والأربعون في اسمه تعالى الكريم
الفصل الرابع والأربعون في اسمه تعالى الرقيب
الفصل الخامس والأربعون في اسمه تعالى المجيب
١٧٨ الفصل السادس والأربعون في اسمه تعالى الواسع
الفصل السابع والأربعون في اسمه تعالى الحكيم
١٧٩ الفصل الثامن والأربعون في اسمه تعالى الودود
١٨٠ الفصل التاسع والأربعون في اسمه تعالى المجيد
الفصل الخمسون في اسمه تعالى الباعث
الفصل الحادي والخمسون في اسمه تعالى الرشيد
١٨١ الفصل الثاني والخمسون في اسمه تعالى الحق
الفصل الثالث والخمسون في اسمه تعالى الوكيل
الفصل الرابع والخمسون في اسمه تعالى القوي
١٨٢ الفصل الخامس والخمسون في اسمه تعالى المتين
الفصل السادس والخمسون في اسمه تعالى الولي
الفصل السابع والخمسون في اسمه تعالى الحميد
١٨٣ الفصل الثامن والخمسون في اسمه تعالى

English:
— 4 —
( Table of Contents of Part Two — continued )
| Leaf | Chapter |
| 169 | Chapter Twenty-Six: on His name — exalted is He — al-Mudhill |
|  | Chapter Twenty-Seven: on His name — exalted is He — al-Sami' |
| 171 | Chapter Twenty-Eight: on His name — exalted is He — al-Basir |
|  | Chapter Twenty-Nine: on His name — exalted is He — al-Hakam |
|  | Chapter Thirty: on His name — exalted is He — al-'Adl |
| 172 | Chapter Thirty-One: on His name — exalted is He — al-Latif |
|  | Chapter Thirty-Two: on His name — exalted is He — al-Khabir |
| 173 | Chapter Thirty-Three: on His name — exalted is He — al-Halim |
|  | Chapter Thirty-Four: on His name — exalted is He — al-'Azim |
|  | Chapter Thirty-Five: on His name — exalted is He — al-Ghafur |
|  | Chapter Thirty-Six: on His name — exalted is He — al-Shakur |
|  | Chapter Thirty-Seven: on His name — exalted is He — al-'Ali |
| 174 | Chapter Thirty-Eight: on His name — exalted is He — al-Qadir |
|  | Chapter Thirty-Nine: on His name — exalted is He — al-Hafiz |
| 175 | Chapter Forty: on His name — exalted is He — al-Muqit |
|  | Chapter Forty-One: on His name — exalted is He — al-Hasib |
| 176 | Chapter Forty-Two: on His name — exalted is He — al-Jalil |
| 177 | Chapter Forty-Three: on His name — exalted is He — al-Karim |
|  | Chapter Forty-Four: on His name — exalted is He — al-Raqib |
|  | Chapter Forty-Five: on His name — exalted is He — al-Mujib |
| 178 | Chapter Forty-Six: on His name — exalted is He — al-Wasi' |
|  | Chapter Forty-Seven: on His name — exalted is He — al-Hakim |
| 179 | Chapter Forty-Eight: on His name — exalted is He — al-Wadud |
| 180 | Chapter Forty-Nine: on His name — exalted is He — al-Majid |
|  | Chapter Fifty: on His name — exalted is He — al-Ba'ith |
|  | Chapter Fifty-One: on His name — exalted is He — al-Rashid |
| 181 | Chapter Fifty-Two: on His name — exalted is He — al-Haqq |
|  | Chapter Fifty-Three: on His name — exalted is He — al-Wakil |
|  | Chapter Fifty-Four: on His name — exalted is He — al-Qawi |
| 182 | Chapter Fifty-Five: on His name — exalted is He — al-Matin |
|  | Chapter Fifty-Six: on His name — exalted is He — al-Wali |
|  | Chapter Fifty-Seven: on His name — exalted is He — al-Hamid

Indonesia:
— 4 —
( Daftar Isi Bahagian Kedua — disambung )
| Helaian | Bab |
| 169 | Bab 26: al-Mudhill |
| 171 | Bab 28: al-Basir |
| 172 | Bab 31: al-Latif |
| 173 | Bab 33: al-Halim |
| 174 | Bab 38: al-Qadir |
| 175 | Bab 40: al-Muqit |
| 176 | Bab 42: al-Jalil |
| 177 | Bab 43: al-Karim |
| 178 | Bab 46: al-Wasi' |
| 179 | Bab 48: al-Wadud |
| 180 | Bab 49: al-Majid |
| 181 | Bab 52: al-Haqq |
| 182 | Bab 55: al-Matin
