Arabic:
— ٦ —
صحيفة | صحيفة
المحصى | الفصل السادس والسبعون في اسمه تعالى
١٨٣ الفصل التاسع والخمسون في اسمه تعالى | الباطن
المبدئ | ١٩٢ الفصل السابع والسبعون في اسمه تعالى
الفصل الستون في اسمه تعالى المعيد | الوالي
١٨٤ الفصل الحادى والستون في اسمه تعالى | الفصل الثامن والسبعون في اسمه تعالى
المحيى | المتعالى
الفصل الثاني والستون في اسمه تعالى المميت | الفصل التاسع والسبعون في اسمه تعالى البر
الفصل الثالث والستون في اسمه تعالى الحى | ١٩٣ الفصل الثمانون في اسمه تعالى التواب
١٨٥ الفصل الرابع والستون في اسمه تعالى | الفصل الحادى والثمانون في اسمه تعالى
القيوم | المنتقم
١٨٦ الفصل الخامس والستون في اسمه تعالى | الفصل الثاني والثمانون في اسمه تعالى
الواجد | العفو
الفصل السادس والستون في اسمه تعالى | الفصل الثالث والثمانون في اسمه تعالى
الماجد | الرؤف
١٨٧ الفصل السابع والستون في اسمه تعالى | ١٩٤ الفصل الرابع والثمانون في اسمه تعالى
الواحد | مالك الملك
الفصل الثامن والستون في اسمه تعالى الصمد | الفصل الخامس والثمانون في اسمه تعالى
١٨٩ الفصل التاسع والستون في اسمه تعالى | ذو الجلال والإكرام
القادر | الفصل السادس والثمانون في اسمه تعالى
الفصل السبعون في اسمه تعالى المقتدر | المقسط
الفصل الحادى والسبعون في اسمه تعالى | الفصل السابع والثمانون في اسمه تعالى
المقدم | الجامع
١٩٠ الفصل الثاني والسبعون في اسمه تعالى | ١٩٥ الفصل الثامن والثمانون في اسمه تعالى الغنى
المؤخر | الفصل التاسع والثمانون في اسمه تعالى المغنى
الفصل الثالث والسبعون في اسمه تعالى | الفصل التسعون في اسمه تعالى المانع
الأول | ١٩٦ الفصل الحادى والتسعون في اسمه تعالى
الفصل الرابع والسبعون في اسمه تعالى | الضار
الآخر | الفصل الثاني والتسعون في اسمه تعالى النافع
١٩١ الفصل الخامس والسبعون في اسمه تعالى | ١٩٧ الفصل الثالث والتسعون في اسمه تعالى النور
الظاهر | الفصل الرابع والتسعون في اسمه تعالى

English:
— 5 —
( Table of Contents of Part Two — continued )
| Leaf | Chapter |
| 183 | Chapter Fifty-Eighth: on His name — exalted is He — al-Muhsi |
|  | Chapter Fifty-Ninth: on His name — exalted is He — al-Mubdi' |
|  | Chapter Sixtieth: on His name — exalted is He — al-Mu'id |
| 184 | Chapter Sixty-First: on His name — exalted is He — al-Muhyi |
|  | Chapter Sixty-Second: on His name — exalted is He — al-Mumit |
|  | Chapter Sixty-Third: on His name — exalted is He — al-Hayy |
| 185 | Chapter Sixty-Fourth: on His name — exalted is He — al-Qayyum |
|  | Chapter Sixty-Fifth: on His name — exalted is He — al-Wajid |
| 186 | Chapter Sixty-Sixth: on His name — exalted is He — al-Majid |
|  | Chapter Sixty-Seventh: on His name — exalted is He — al-Muqaddim |
| 187 | Chapter Sixty-Eighth: on His name — exalted is He — al-Mu'akhkhir |
|  | Chapter Sixty-Ninth: on His name — exalted is He — al-Awwal |
| 188 | Chapter Seventieth: on His name — exalted is He — al-Akhir |
|  | Chapter Seventy-First: on His name — exalted is He — al-Zahir |
| 189 | Chapter Seventy-Second: on His name — exalted is He — al-Batin |
|  | Chapter Seventy-Third: on His name — exalted is He — al-Wali |
| 190 | Chapter Seventy-Fourth: on His name — exalted is He — al-Muta'ali |
|  | Chapter Seventy-Fifth: on His name — exalted is He — al-Barr |
| 191 | Chapter Seventy-Sixth: on His name — exalted is He — al-Tawwab |
|  | Chapter Seventy-Seventh: on His name — exalted is He — al-Muntaqim |
| 192 | Chapter Seventy-Eighth: on His name — exalted is He — al-'Afuw |
|  | Chapter Seventy-Ninth: on His name — exalted is He — al-Ra'uf |
| 193 | Chapter Eightieth: on His name — exalted is He — Malik al-Mulk |
|  | Chapter Eighty-First: on His name — exalted is He — Dhu al-Jalal wa al-Ikram |
| 194 | Chapter Eighty-Second: on His name — exalted is He — al-Muqsit |
|  | Chapter Eighty-Third: on His name — exalted is He — al-Jami' |
| 195 | Chapter Eighty-Fourth: on His name — exalted is He — al-Ghani |
|  | Chapter Eighty-Fifth: on His name — exalted is He — al-Mughni |
| 196 | Chapter Eighty-Sixth: on His name — exalted is He — al-Mani' |
|  | Chapter Eighty-Seventh: on His name — exalted is He — al-Darr |
| 197 | Chapter Eighty-Eighth: on His name — exalted is He — al-Nafi' |
|  | Chapter Eighty-Ninth: on His name — exalted is He — al-Nur |
| 198 | Chapter Ninetieth: on His name — exalted is He — al-Badi' |
|  | Chapter Ninety-First: on His name — exalted is He — al-Baqi |
|  | Chapter Ninety-Second: on His name — exalted is He — al-Warith |
|  | Chapter Ninety-Third: on His name — exalted is He — al-Rashid |
|  | Chapter Ninety-Fourth: on His name — exalted is He — al-Sabur

Indonesia:
— 5 —
( Daftar Isi Bahagian Kedua — disambung )
| Helaian | Bab |
| 183 | Bab 58: al-Muhsi |
| 184 | Bab 61: al-Muhyi |
| 185 | Bab 64: al-Qayyum |
| 186 | Bab 66: al-Majid |
| 187 | Bab 68: al-Mu'akhkhir |
| 188 | Bab 70: al-Akhir |
| 189 | Bab 72: al-Batin |
| 190 | Bab 74: al-Muta'ali |
| 191 | Bab 76: al-Tawwab |
| 192 | Bab 78: al-'Afuw |
| 193 | Bab 80: Malik al-Mulk |
| 194 | Bab 82: al-Muqsit |
| 195 | Bab 84: al-Ghani |
| 196 | Bab 86: al-Mani' |
| 197 | Bab 88: al-Nafi' |
| 198 | Bab 90: al-Badi'
